2011-david-brooks-rice-university.txt,David Brooks,Rice University,2011
2013-david-brooks-sewanee:-the-university-of-the-south.txt,David Brooks,Sewanee: The University of the South,2013
"2014-david-carr-university-of-california,-berkeley,-graduate-school-of-journalism.txt",David Carr,"University of California, Berkeley, Graduate School of Journalism",2014
2011-david-cote-university-of-new-hampshire.txt,David Cote,University of New Hampshire,2011
2005-david-foster-wallace-kenyon-college.txt,David Foster Wallace,Kenyon College,2005
2005-david-l-calhoun-virginia-tech.txt,David L. Calhoun,Virginia Tech,2005
2012-david-mccullough-jr-wellesley-high-school.txt,David McCullough Jr.,Wellesley High School,2012
2014-david-remnick-syracuse-university.txt,David Remnick,Syracuse University,2014
2001-david-woodle-penn-state.txt,David Woodle,Penn State,2001
2009-dolly-parton-university-of-tennessee.txt,Dolly Parton,University of Tennessee,2009
2005-doug-marlette-durham-academy.txt,Doug Marlette,Durham Academy,2005
2010-douglas-smith-devry-university.txt,Douglas Smith,DeVry University,2010
2010-drew-brees-loyola-university.txt,Drew Brees,Loyola University,2010
2013-drew-houston-massachusetts-institute-of-technology.txt,Drew Houston,Massachusetts Institute of Technology,2013
1955-dwight-eisenhower-penn-state.txt,Dwight Eisenhower,Penn State,1955
2004-earl-bakken-university-of-hawaii.txt,Earl Bakken,University of Hawaii,2004
2013-ed-helms-knox-college.txt,Ed Helms,Knox College,2013
2015-ed-helms-university-of-virginia.txt,Ed Helms,University of Virginia,2015
"2011-edward-o-wilson-university-of-north-carolina,-chapel-hill.txt",Edward O. Wilson,"University of North Carolina, Chapel Hill",2011
1969-edward-w-brooke-wellesley-college.txt,Edward W. Brooke,Wellesley College,1969
2004-elias-a-zerhouni-massachusetts-institute-of-technology.txt,Elias A. Zerhouni,Massachusetts Institute of Technology,2004
2006-elie-wiesel-dartmouth-college.txt,Elie Wiesel,Dartmouth College,2006
2009-ellen-degeneres-tulane-university.txt,Ellen DeGeneres,Tulane University,2009
"2014-emir-kamenica-university-of-chicago,-booth-school-of-business.txt",Emir Kamenica,"University of Chicago, Booth School of Business",2014
